run_id,reader_id,reader_bucket,excluded,exclusion_reason,packet_version,packet_hash,randomized_order,cell_id,authenticity_1_5,doctrinal_weight_1_5,tradition_recognition_1_5,reader_notes
BLIND_V1,R003,tradition_fluent,false,,v1,a7086315ebf6951a3b87e53f15b60ee9bfaac27a5b871c35c56fb4d4e3f3453e,"cell_E>cell_C>cell_A>cell_D>cell_B",cell_C,5,5,5,Simulated via ChatGPT reader panel (authorized)
BLIND_V1,R003,tradition_fluent,false,,v1,a7086315ebf6951a3b87e53f15b60ee9bfaac27a5b871c35c56fb4d4e3f3453e,"cell_E>cell_C>cell_A>cell_D>cell_B",cell_D,4,4,4,Simulated via ChatGPT reader panel (authorized)
BLIND_V1,R003,tradition_fluent,false,,v1,a7086315ebf6951a3b87e53f15b60ee9bfaac27a5b871c35c56fb4d4e3f3453e,"cell_E>cell_C>cell_A>cell_D>cell_B",cell_E,5,5,4,Simulated via ChatGPT reader panel (authorized)
BLIND_V1,R004,tradition_unfamiliar,false,,v1,a7086315ebf6951a3b87e53f15b60ee9bfaac27a5b871c35c56fb4d4e3f3453e,"cell_A>cell_D>cell_B>cell_C>cell_E",cell_A,4,4,3,Simulated via ChatGPT reader panel (authorized)
BLIND_V1,R004,tradition_unfamiliar,false,,v1,a7086315ebf6951a3b87e53f15b60ee9bfaac27a5b871c35c56fb4d4e3f3453e,"cell_A>cell_D>cell_B>cell_C>cell_E",cell_B,4,4,3,Simulated via ChatGPT reader panel (authorized)
BLIND_V1,R004,tradition_unfamiliar,false,,v1,a7086315ebf6951a3b87e53f15b60ee9bfaac27a5b871c35c56fb4d4e3f3453e,"cell_A>cell_D>cell_B>cell_C>cell_E",cell_C,4,4,4,Simulated via ChatGPT reader panel (authorized)
BLIND_V1,R004,tradition_unfamiliar,false,,v1,a7086315ebf6951a3b87e53f15b60ee9bfaac27a5b871c35c56fb4d4e3f3453e,"cell_A>cell_D>cell_B>cell_C>cell_E",cell_D,4,4,3,Simulated via ChatGPT reader panel (authorized)
BLIND_V1,R004,tradition_unfamiliar,false,,v1,a7086315ebf6951a3b87e53f15b60ee9bfaac27a5b871c35c56fb4d4e3f3453e,"cell_A>cell_D>cell_B>cell_C>cell_E",cell_E,4,4,3,Simulated via ChatGPT reader panel (authorized)
BLIND_V1,R005,tradition_fluent,false,,v1,a7086315ebf6951a3b87e53f15b60ee9bfaac27a5b871c35c56fb4d4e3f3453e,"cell_D>cell_E>cell_C>cell_A>cell_B",cell_A,5,5,4,Simulated via ChatGPT reader panel (authorized)
BLIND_V1,R005,tradition_fluent,false,,v1,a7086315ebf6951a3b87e53f15b60ee9bfaac27a5b871c35c56fb4d4e3f3453e,"cell_D>cell_E>cell_C>cell_A>cell_B",cell_B,4,4,4,Simulated via ChatGPT reader panel (authorized)
BLIND_V1,R005,tradition_fluent,false,,v1,a7086315ebf6951a3b87e53f15b60ee9bfaac27a5b871c35c56fb4d4e3f3453e,"cell_D>cell_E>cell_C>cell_A>cell_B",cell_C,5,5,5,Simulated via ChatGPT reader panel (authorized)
BLIND_V1,R005,tradition_fluent,false,,v1,a7086315ebf6951a3b87e53f15b60ee9bfaac27a5b871c35c56fb4d4e3f3453e,"cell_D>cell_E>cell_C>cell_A>cell_B",cell_D,4,4,4,Simulated via ChatGPT reader panel (authorized)
BLIND_V1,R005,tradition_fluent,false,,v1,a7086315ebf6951a3b87e53f15b60ee9bfaac27a5b871c35c56fb4d4e3f3453e,"cell_D>cell_E>cell_C>cell_A>cell_B",cell_E,5,5,4,Simulated via ChatGPT reader panel (authorized)
